"","0",""
"1.2l l4  sohc 199a4000","3851","1.2l l4  sohc 199a4000"
"1.4l l4  dohc 199a6000","3856","1.4l l4  dohc 199a6000"
"1.4l l4  dohc","3856","1.4l l4  dohc"
"1.5l l4  dohc","777","1.5l l4  dohc"
"1.5l l4  sohc   diesel","17566","1.5l l4  sohc   diesel"
"1.5l l4 vin g sohc g4ek","790","1.5l l4 vin g sohc g4ek"
"1.5l l4 vin n sohc g4ek","790","1.5l l4 vin n sohc g4ek"
"1.6l l4  dohc","1867","1.6l l4  dohc"
"1.6l l4  dohc","2087","1.6l l4  dohc"
"1.6l l4  dohc","3868","1.6l l4  dohc"
"1.6l l4  dohc","3878","1.6l l4  dohc"
"1.6l l4  dohc k4m","269","1.6l l4  dohc k4m"
"1.6l l4  dohc k4m","3878","1.6l l4  dohc k4m"
"1.6l l4  dohc k4m d 812","3878","1.6l l4  dohc k4m d 812"
"1.6l l4  sohc k7m","269","1.6l l4  sohc k7m"
"1.6l l4 vin 1 dohc  gamma","2576","1.6l l4 vin 1 dohc  gamma"
"1.6l l4 vin 3 dohc","2087","1.6l l4 vin 3 dohc"
"1.6l l4 vin c dohc","2087","1.6l l4 vin c dohc"
"1.6l l4 vin c dohc","58","1.6l l4 vin c dohc"
"1.8l l4  dohc","3894","1.8l l4  dohc"
"1.8l l4  dohc k-series","3894","1.8l l4  dohc k-series"
"1.8l l4  sohc","2549","1.8l l4  sohc"
"1.8l l4 vin 1 dohc 5bp","781","1.8l l4 vin 1 dohc 5bp"
"1.9l l4     diesel","3902","1.9l l4     diesel"
"1.9l l4  sohc f9q  diesel","3902","1.9l l4  sohc f9q  diesel"
"2.0l l4  dohc","3922","2.0l l4  dohc"
"2.0l l4  dohc","54","2.0l l4  dohc"
"2.0l l4  dohc f4r","3922","2.0l l4  dohc f4r"
"2.0l l4  dohc g4cp","54","2.0l l4  dohc g4cp"
"2.0l l4 vin 1 dohc","54","2.0l l4 vin 1 dohc"
"2.0l l4 vin 2 dohc","54","2.0l l4 vin 2 dohc"
"2.0l l4 vin 2 dohc  theta ii","95","2.0l l4 vin 2 dohc  theta ii"
"2.0l l4 vin 3 dohc fed","95","2.0l l4 vin 3 dohc fed"
"2.0l l4 vin 4 dohc","54","2.0l l4 vin 4 dohc"
"2.0l l4 vin b dohc","54","2.0l l4 vin b dohc"
"2.0l l4 vin d dohc","54","2.0l l4 vin d dohc"
"2.0l l4 vin d dohc  theta","95","2.0l l4 vin d dohc  theta"
"2.0l l4 vin e dohc","54","2.0l l4 vin e dohc"
"2.0l l4 vin f dohc g4cp","49","2.0l l4 vin f dohc g4cp"
"2.2l l4 vin 4 ohv  vortec","372","2.2l l4 vin 4 ohv  vortec"
"2.2l l4 vin 5 ohv  vortec flex","372","2.2l l4 vin 5 ohv  vortec flex"
"2.2l l4 vin h ohv  vortec","372","2.2l l4 vin h ohv  vortec"
"2.3l l4  dohc   diesel","4224","2.3l l4  dohc   diesel"
"2.3l l4  dohc fpt  diesel","4224","2.3l l4  dohc fpt  diesel"
"2.3l v6  dohc","5996","2.3l v6  dohc"
"2.4l l4  dohc","46","2.4l l4  dohc"
"2.4l l4 vin 3 dohc","2062","2.4l l4 vin 3 dohc"
"2.4l l4 vin 5 dohc","2062","2.4l l4 vin 5 dohc"
"2.4l l4 vin 6 dohc","46","2.4l l4 vin 6 dohc"
"2.4l l4 vin 8 dohc  theta 2","2062","2.4l l4 vin 8 dohc  theta 2"
"2.4l l4 vin 9 dohc  theta ii - sulev","2062","2.4l l4 vin 9 dohc  theta ii - sulev"
"2.4l l4 vin b dohc  theta ii","2062","2.4l l4 vin b dohc  theta ii"
"2.4l l4 vin c dohc","2062","2.4l l4 vin c dohc"
"2.4l l4 vin s","1733","2.4l l4 vin s"
"2.4l l4 vin s dohc","46","2.4l l4 vin s dohc"
"2.4l l4 vin w dohc laf ecotec","2071","2.4l l4 vin w dohc laf ecotec"
"2.4l l5  dohc","4225","2.4l l5  dohc"
"2.5l l4  dohc tr25","2564","2.5l l4  dohc tr25"
"2.5l l4   tr25","2564","2.5l l4   tr25"
"2.5l v6","1910","2.5l v6"
"2.5l v6  dohc","3987","2.5l v6  dohc"
"2.5l v6  dohc","775","2.5l v6  dohc"
"2.5l v6  dohc kv6","3987","2.5l v6  dohc kv6"
"2.5l v6 vin v dohc","818","2.5l v6 vin v dohc"
"2.7l v6","1911","2.7l v6"
"2.7l v6  dohc","56","2.7l v6  dohc"
"2.7l v6 vin 3 dohc","56","2.7l v6 vin 3 dohc"
"2.7l v6 vin 4 dohc","56","2.7l v6 vin 4 dohc"
"2.7l v6 vin 6 dohc","56","2.7l v6 vin 6 dohc"
"2.7l v6 vin 8 dohc","56","2.7l v6 vin 8 dohc"
"2.7l v6 vin d dohc","56","2.7l v6 vin d dohc"
"2.7l v6 vin f dohc","56","2.7l v6 vin f dohc"
"2.8l l4 vin 8 dohc","1882","2.8l l4 vin 8 dohc"
"2.9l l4 vin 9 dohc","5863","2.9l l4 vin 9 dohc"
"2.9l v6  dohc","4015","2.9l v6  dohc"
"2.9l v6  dohc l7x","4015","2.9l v6  dohc l7x"
"3.0l l4  dohc fpt  diesel","17536","3.0l l4  dohc fpt  diesel"
"3.0l v6  dohc","47","3.0l v6  dohc"
"3.0l v6 vin y dohc lf1","2579","3.0l v6 vin y dohc lf1"
"3.3l v6  dohc","2063","3.3l v6  dohc"
"3.3l v6 vin 5 dohc","2063","3.3l v6 vin 5 dohc"
"3.3l v6 vin d dohc","2063","3.3l v6 vin d dohc"
"3.3l v6 vin e dohc","2063","3.3l v6 vin e dohc"
"3.3l v6 vin f dohc","2063","3.3l v6 vin f dohc"
"3.5l l5 vin 6 dohc","1883","3.5l l5 vin 6 dohc"
"3.5l v6  dohc","1350","3.5l v6  dohc"
"3.5l v6  dohc","820","3.5l v6  dohc"
"3.5l v6 vin 1 dohc","1350","3.5l v6 vin 1 dohc"
"3.5l v6 vin 4 dohc","1350","3.5l v6 vin 4 dohc"
"3.5l v6 vin e dohc","2086","3.5l v6 vin e dohc"
"3.5l v6 vin g dohc  lambda ii","4223","3.5l v6 vin g dohc  lambda ii"
"3.6l v6  dohc","5851","3.6l v6  dohc"
"3.6l v6  dohc llt","5851","3.6l v6  dohc llt"
"3.6l v6 vin 7 dohc","5851","3.6l v6 vin 7 dohc"
"3.6l v6 vin d dohc llt","5851","3.6l v6 vin d dohc llt"
"3.7l l5  dohc llr","4101","3.7l l5  dohc llr"
"3.7l l5 vin e dohc","4101","3.7l l5 vin e dohc"
"3.8l -6   638  diesel","17357","3.8l -6   638  diesel"
"3.8l v6  dohc","2136","3.8l v6  dohc"
"3.8l v6 vin 1 dohc","2136","3.8l v6 vin 1 dohc"
"3.8l v6 vin 3 dohc","2136","3.8l v6 vin 3 dohc"
"3.8l v6 vin 5 dohc","2136","3.8l v6 vin 5 dohc"
"3.8l v6 vin 6 dohc","2136","3.8l v6 vin 6 dohc"
"3.8l v6 vin c dohc","2136","3.8l v6 vin c dohc"
"3.8l v6 vin e dohc","2136","3.8l v6 vin e dohc"
"3.8l v6 vin f dohc","2136","3.8l v6 vin f dohc"
"3.8l v6 vin h dohc","2136","3.8l v6 vin h dohc"
"4.2l l6 vin s dohc  vortec","769","4.2l l6 vin s dohc  vortec"
"4.3l v6 vin w ohv  vortec","397","4.3l v6 vin w ohv  vortec"
"4.3l v6 vin x ohv  vortec","213","4.3l v6 vin x ohv  vortec"
